  5.9880239859921858e-05	-2.894750684580613e-17	-7.750441754262538e-17	+3.306271857223046e-17
1.319100992986932e-04	-2.214176306551145e-17	-6.700746628598299e-17	+2.748587447570966e-17
2.184722834499553e-04	-2.011923838979912e-17	-5.555828866148243e-17	+2.287145759292628e-17
3.225310938432813e-04	-1.543288569310699e-17	-4.439277363221328e-17	+1.902581428084133e-17
4.466012178454548e-04	-1.229184675770373e-17	-3.689423083583523e-17	+1.595713455812499e-17
5.958730471320450e-04	-8.345226333677224e-18	-3.023120980301219e-17	+1.326307287948051e-17
7.733094389550388e-04	-4.868694479867350e-18	-2.486583945481519e-17	+1.115782321607091e-17
9.878836572170258e-04	-2.507690173337907e-18	-2.006286774866964e-17	+9.226661505597097e-18
1.245372695848346e-03	-9.616331583504874e-02	-4.171519370716519e-02	+6.650027705027288e-18
1.558037940412760e-03	-4.229551361071274e-01	-1.916451453763784e-01	+2.011903277889845e-18
1.925079734064639e-03	+1.262267541668178e-01	+4.246164652294890e-02	+6.454196042221028e-17
2.373686525970697e-03	-8.178468728757368e-02	-5.833434270619987e-02	-6.867904740338520e-17
2.918423153460026e-03	-1.218608231383515e-02	-4.662213282636087e-02	+5.579828037124752e-17
3.562202909961343e-03	+4.649445201986186e-02	-4.751946523701964e-02	-9.300620165207985e-19
4.366927314549685e-03	+1.336044287166135e-01	-4.697157184029365e-02	-3.066966036197466e-17
5.305773112922907e-03	+2.705711224630689e-01	-4.251801481967763e-02	+2.163767552371910e-17
6.479329895228148e-03	+4.915234290356119e-01	-2.531477820689334e-02	-1.063462891165878e-17
7.652886677533388e-03	+8.174986107594344e-01	+1.533894864095648e-02	+1.505043024267466e-18
8.826442994177341e-03	+1.229811966374343e+00	+9.185242560389563e-02	+1.711374728696757e-17
9.999999776482582e-03	+1.774243092815374e+00	+2.268286901194473e-01	+2.339360784003113e-18
1.083333324640989e-02	+2.092059291138009e+00	+3.700715630575057e-01	-1.825151546440526e-17
1.159722264856100e-02	-3.545282158127918e+00	+3.122712267962006e-01	+7.036416784723531e-18
1.253086421638727e-02	+2.622433760342559e+00	-6.752174700389912e-02	+1.340248994748554e-18
1.359788328409195e-02	+1.380085861833451e-01	+1.284477395685614e-01	+3.088940355511760e-18
1.487830653786659e-02	+4.870111171412359e-01	+1.301504726666413e-01	-2.323166263300654e-18
